1778905344.870541702	cpu0 278773 84457 527033 7569797 3655 309878 42949 0 109 0
1778905344.870541702	cpu1 310450 84284 496270 7728807 3748 144409 30304 0 94 0
1778905344.870541702	cpu2 223087 54444 305625 8220269 3085 39378 28909 0 102 0
1778905344.870541702	cpu3 224823 52703 311469 8221165 2963 39179 24262 0 124 0
1778905344.870541702	cpu4 235681 53833 322667 8203358 3101 41550 13444 0 30 0
1778905344.870541702	cpu5 116055 25099 109354 8642350 633 10893 3588 0 20 0
1778905344.870541702	cpu6 118795 22166 113136 8579704 607 33835 41381 0 21 0
1778905344.870541702	cpu7 69841 12898 48924 8784145 509 3760 903 0 31 0
1778905346.073042640	cpu  1577608 389886 2234714 65950198 18305 622895 185750 0 534 0
1778905346.073042640	cpu0 278795 84457 527098 7569824 3655 309881 42950 0 109 0
1778905346.073042640	cpu1 310472 84284 496330 7728840 3748 144412 30305 0 94 0
1778905346.073042640	cpu2 223090 54444 305642 8220366 3085 39379 28910 0 102 0
1778905346.073042640	cpu3 224841 52703 311490 8221242 2963 39180 24263 0 124 0
1778905346.073042640	cpu4 235684 53833 322677 8203460 3101 41551 13445 0 30 0
1778905346.073042640	cpu5 116060 25099 109364 8642452 633 10893 3588 0 20 0
1778905346.073042640	cpu6 118802 22166 113152 8579798 607 33836 41383 0 21 0
1778905346.073042640	cpu7 69861 12898 48958 8784212 509 3761 903 0 31 0
1778905347.255380532	cpu  1577739 389906 2234966 65950716 18305 622905 185754 0 534 0
1778905347.255380532	cpu0 278820 84457 527154 7569856 3655 309883 42951 0 109 0
1778905347.255380532	cpu1 310496 84286 496387 7728871 3748 144414 30306 0 94 0
1778905347.255380532	cpu2 223096 54445 305658 8220458 3085 39380 28911 0 102 0
1778905347.255380532	cpu3 224860 52717 311526 8221287 2963 39181 24263 0 124 0
1778905347.255380532	cpu4 235692 53833 322686 8203557 3101 41552 13445 0 30 0
1778905347.255380532	cpu5 116064 25102 109376 8642551 633 10894 3588 0 20 0
